time_step,simulated_timestamp,UDI,Product ID,actual_machine_failure,xgboost_probability,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,selected_threshold,risk_status,risk_rolling_mean,risk_center_line,risk_ucl,risk_lcl,risk_beyond_control_limit,spc_risk_alert,torque_rolling_mean,torque_center_line,torque_ucl,torque_lcl,torque_beyond_control_limit
1,2026-06-01 08:00:00,2,L47181,0,0.00825836,L,298.2,308.7,1408,46.3,3,0,0.86,Normal,0.00825836043804884,0.0484173446893692,0.44078411161899567,0.0,False,False,46.3,39.57697084698982,68.07734305908238,11.076598634897266,False
2,2026-06-01 08:01:00,5,L47184,0,0.0038260247,L,298.2,308.7,1408,40.0,9,0,0.86,Normal,0.006042192573659122,0.0484173446893692,0.44078411161899567,0.0,False,False,43.15,39.57697084698982,68.07734305908238,11.076598634897266,False
3,2026-06-01 08:02:00,6,M14865,0,0.005169609,M,298.1,308.6,1425,41.9,11,0,0.86,Normal,0.005751331414406498,0.0484173446893692,0.44078411161899567,0.0,False,False,42.73333333333333,39.57697084698982,68.07734305908238,11.076598634897266,False
4,2026-06-01 08:03:00,10,M14869,0,0.0025232525,M,298.5,309.0,1741,28.0,21,0,0.86,Normal,0.004944311687722802,0.0484173446893692,0.44078411161899567,0.0,False,False,39.05,39.57697084698982,68.07734305908238,11.076598634897266,False
5,2026-06-01 08:04:00,12,H29425,0,0.010137903,H,298.6,309.1,1423,44.3,29,0,0.86,Normal,0.005983029864728451,0.0484173446893692,0.44078411161899567,0.0,False,False,40.1,39.57697084698982,68.07734305908238,11.076598634897266,False
6,2026-06-01 08:05:00,14,M14873,0,0.0033181924,M,298.6,309.2,1742,30.0,37,0,0.86,Normal,0.0055388902934889,0.0484173446893692,0.44078411161899567,0.0,False,False,38.416666666666664,39.57697084698982,68.07734305908238,11.076598634897266,False
7,2026-06-01 08:06:00,21,H29434,0,0.017390423,H,298.9,309.3,1375,42.7,58,0,0.86,Normal,0.0072319663262793,0.0484173446893692,0.44078411161899567,0.0,False,False,39.028571428571425,39.57697084698982,68.07734305908238,11.076598634897266,False
8,2026-06-01 08:07:00,22,L47201,0,0.024055904,L,298.8,309.3,1450,44.8,63,0,0.86,Normal,0.009334958507679403,0.0484173446893692,0.44078411161899567,0.0,False,False,39.75,39.57697084698982,68.07734305908238,11.076598634897266,False
9,2026-06-01 08:08:00,28,H29441,0,0.0054443926,H,299.1,309.4,1811,24.6,77,0,0.86,Normal,0.008902673402594196,0.0484173446893692,0.44078411161899567,0.0,False,False,38.06666666666667,39.57697084698982,68.07734305908238,11.076598634897266,False
10,2026-06-01 08:09:00,36,M14895,0,0.016938273,M,298.8,309.2,1452,48.6,98,0,0.86,Normal,0.009706233348697423,0.0484173446893692,0.44078411161899567,0.0,False,False,39.12,39.57697084698982,68.07734305908238,11.076598634897266,False
11,2026-06-01 08:10:00,39,H29452,0,0.01652813,H,298.9,309.2,1379,50.7,106,0,0.86,Normal,0.01032640573314645,0.0484173446893692,0.44078411161899567,0.0,False,False,40.17272727272727,39.57697084698982,68.07734305908238,11.076598634897266,False
12,2026-06-01 08:11:00,43,M14902,0,0.012110948,M,298.8,309.1,1368,49.1,117,0,0.86,Normal,0.010475117557992538,0.0484173446893692,0.44078411161899567,0.0,False,False,40.916666666666664,39.57697084698982,68.07734305908238,11.076598634897266,False
13,2026-06-01 08:12:00,56,L47235,0,0.013097976,L,298.8,309.1,1512,40.7,156,0,0.86,Normal,0.01067687592540796,0.0484173446893692,0.44078411161899567,0.0,False,False,40.900000000000006,39.57697084698982,68.07734305908238,11.076598634897266,False
14,2026-06-01 08:13:00,57,L47236,0,0.012060243,L,298.8,309.1,1477,42.4,158,0,0.86,Normal,0.01077568783823933,0.0484173446893692,0.44078411161899567,0.0,False,False,41.00714285714286,39.57697084698982,68.07734305908238,11.076598634897266,False
15,2026-06-01 08:14:00,62,M14921,0,0.014904592,M,298.8,309.0,1592,38.2,169,0,0.86,Normal,0.01105094812810421,0.0484173446893692,0.44078411161899567,0.0,False,False,40.82,39.57697084698982,68.07734305908238,11.076598634897266,False
16,2026-06-01 08:15:00,66,L47245,0,0.042480666,L,299.0,309.1,1394,45.1,179,0,0.86,Normal,0.01301530550699681,0.0484173446893692,0.44078411161899567,0.0,False,False,41.0875,39.57697084698982,68.07734305908238,11.076598634897266,False
17,2026-06-01 08:16:00,77,L47256,0,0.21879803,L,298.8,308.9,1461,47.9,206,0,0.86,Normal,0.025120171444380984,0.0484173446893692,0.44078411161899567,0.0,False,False,41.48823529411764,39.57697084698982,68.07734305908238,11.076598634897266,False
18,2026-06-01 08:17:00,81,H29494,0,0.028042844,H,298.8,308.8,1445,49.9,4,0,0.86,Normal,0.025282542117767863,0.0484173446893692,0.44078411161899567,0.0,False,False,41.955555555555556,39.57697084698982,68.07734305908238,11.076598634897266,False
